Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)?,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4-4-2023 12:10:14,Computer Science,,,1,1.0,1.0,0.0,1999-03-31,401-500,,80-90,6-10,24,,Good weather,No assigment
4-4-2023 12:11:06,Artificial Intelligence,1.0,0.0,1,0.0,1.0,1.0,1997-12-22,501-1000,0.0,10-20,4-6,158295726,00:30-59,The sun,Free time
4-4-2023 12:10:57,Business Analytics,1.0,0.0,1,0.0,0.0,1.0,1999-09-15,101-200,0.0,10-20,6-10,9,12:00-29,Sun,Good food
4-4-2023 12:11:08,Quantitative Risk Management,1.0,0.0,0,0.0,0.0,1.0,2001-08-08,301-400,0.0,90-100,2-4,8,23:30-59,Sport,Study success
4-4-2023 12:11:30,Computer Science,0.0,1.0,0,1.0,0.0,1.0,,201-300,1.0,90-100,0-2,3,,good sleep,sunshine
4-4-2023 12:11:12,Artificial Intelligence,1.0,0.0,1,1.0,1.0,1.0,1997-01-01,301-400,0.0,0-10,6-10,2,23:00-29,Good weather,Doing sports
4-4-2023 12:11:35,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,2001-04-01,401-500,0.0,50-60,4-6,11,23:30-59,Good weather,Fun things to do
4-4-2023 12:10:40,Econometrics,1.0,1.0,1,1.0,0.0,,2000-08-09,501-1000,0.0,60-70,2-4,999,12:00-29,The sun ,Chill in nature
4-4-2023 12:11:19,Artificial Intelligence,1.0,0.0,1,1.0,0.0,0.0,1998-03-31,401-500,0.0,0-10,4-6,3,01:00-29,waking up early and working out,sunny and warm weather 
4-4-2023 12:12:17,Computer Science,1.0,0.0,1,1.0,1.0,1.0,1999-02-11,201-300,1.0,70-80,2-4,373629566,,Food,Communication 
4-4-2023 12:11:26,Artificial Intelligence,1.0,0.0,1,0.0,0.0,0.0,1996-10-28,401-500,0.0,30-40,,9,,Feeling energetic,Not worrying
4-4-2023 12:16:05,Artificial Intelligence,1.0,0.0,1,0.0,1.0,,1999-05-14,51-100,0.0,40-50,0-2,1,,Work,Relationships
4-4-2023 12:11:46,Artificial Intelligence,0.0,0.0,1,0.0,1.0,1.0,,201-300,0.0,40-50,6-10,16533333,00:30-59,Sunshine,Productivity
4-4-2023 12:10:57,Econometrics,0.0,1.0,1,0.0,0.0,1.0,,301-400,0.0,70-80,6-10,3,21:30-59,Doing yoga,Sunshine 
4-4-2023 12:11:21,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,2001-10-10,301-400,0.0,50-60,0-2,55,23:30-59,Sunshine,Good food
4-4-2023 12:11:29,PhD,0.0,0.0,1,1.0,0.0,0.0,1999-04-15,401-500,0.0,10-20,2-4,8,23:00-29,Sun,Day off
4-4-2023 12:11:44,Business Analytics,1.0,,1,1.0,0.0,1.0,1998-03-29,301-400,1.0,70-80,6-10,3,23:30-59,Sunshine ,Joking 
4-4-2023 12:11:16,Bioinformatics,1.0,0.0,0,0.0,0.0,1.0,1999-06-16,401-500,1.0,90-100,0-2,6,,nothing happens,sunny days
4-4-2023 12:11:03,Artificial Intelligence,1.0,1.0,1,0.0,,1.0,1999-06-05,301-400,0.0,0-10,6-10,2645738475736375389,01:00-29,sun and free time,food
4-4-2023 12:10:51,Business Analytics,1.0,0.0,1,0.0,0.0,1.0,,101-200,0.0,10-20,4-6,8,00:30-59,Sun,Good night of sleep
4-4-2023 12:11:41,Econometrics,0.0,0.0,1,0.0,0.0,0.0,,101-200,0.0,60-70,0-2,7,01:00-29,Getting up on time ,Not crossing paths with rude people 
4-4-2023 12:13:33,Other,0.0,0.0,0,1.0,1.0,0.0,1996-12-13,301-400,0.0,60-70,,13,01:00-29,Productive ,Successful 
4-4-2023 12:10:42,Computer Science,1.0,,1,1.0,1.0,1.0,2000-02-11,101-200,0.0,20-30,6-10,Random number,02:00-29,Nice weather,Kindness
4-4-2023 12:10:38,Bioinformatics,1.0,0.0,1,0.0,,1.0,1999-08-08,401-500,0.0,20-30,2-4,3,,bread,coffee
4-4-2023 12:11:27,Artificial Intelligence,1.0,1.0,1,1.0,0.0,1.0,1998-05-05,401-500,0.0,10-20,2-4,68,22:00-29,Sunny weather,Being well-rested
4-4-2023 12:09:18,Quantitative Risk Management,0.0,1.0,1,1.0,0.0,,1998-07-12,501-1000,0.0,60-70,4-6,777,00:00-29,Experience a serotonin molecule ,Experience another serotonin molecule 
4-4-2023 12:09:59,Artificial Intelligence,1.0,1.0,1,1.0,0.0,1.0,1997-08-08,501-1000,0.0,0-10,0-2,666,00:30-59,The sun,Friends and food
4-4-2023 12:11:30,Computational Science,0.0,1.0,1,0.0,1.0,1.0,1993-01-01,301-400,0.0,20-30,2-4,582948164919474718928472615648910748748284728949293765313567899097472791983646595910916526819048857579202010109485748929275747382991919847575748389291010,23:30-59,Sports,Beer
4-4-2023 12:11:04,Bioinformatics,1.0,,1,1.0,,0.0,1999-06-11,201-300,0.0,30-40,4-6,21,23:30-59,Nice weather,Good deed done
4-4-2023 12:10:00,Bioinformatics,1.0,0.0,1,1.0,0.0,0.0,2002-09-15,401-500,0.0,60-70,0-2,96,02:00-29,Eating chocolate,Getting a high grade 
