Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)?,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4-4-2023 12:10:17,Other,1.0,1.0,1,1.0,1.0,,1998-02-17,301-400,0.0,70-80,2-4,11,12:00-29,Friends,Family
4-4-2023 12:11:26,Computer Science,1.0,1.0,1,1.0,0.0,1.0,2000-11-25,201-300,0.0,90-100,,886,01:30-59,good weather,interesting data mining course
4-4-2023 12:11:14,Artificial Intelligence,1.0,0.0,1,0.0,0.0,1.0,1999-06-11,301-400,0.0,20-30,4-6,53645936,00:30-59,Relaxing,Meeting friends
4-4-2023 12:11:30,Computer Science,1.0,1.0,0,1.0,1.0,0.0,2001-09-09,201-300,0.0,20-30,4-6,69,01:00-29,Free schedule,Good weather
4-4-2023 12:10:21,Artificial Intelligence,1.0,1.0,1,1.0,0.0,1.0,1999-12-03,301-400,0.0,30-40,6-10,9,23:30-59,Good food,Nice people
4-4-2023 12:09:45,Other,1.0,0.0,1,0.0,1.0,1.0,1997-12-29,501-1000,0.0,70-80,4-6,866,12:30-59,Thursday ,Saturday
4-4-2023 12:10:56,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,2001-10-23,501-1000,0.0,60-70,2-4,3,23:00-29,Lekker eten,Leuke mensen
4-4-2023 12:11:16,Computer Science,1.0,1.0,0,1.0,0.0,,2000-03-21,201-300,0.0,10-20,4-6,3,12:00-29,sun,holiday
4-4-2023 12:09:18,Artificial Intelligence,1.0,0.0,1,1.0,1.0,1.0,1999-02-01,301-400,0.0,0-10,6-10,100,00:00-29,You,Finally losing my virginity
4-4-2023 12:11:56,Artificial Intelligence,0.0,0.0,1,0.0,1.0,0.0,1998-08-08,501-1000,0.0,30-40,2-4,2,23:00-29,Well rested ,Interesting book or podcast 
4-4-2023 12:10:55,Artificial Intelligence,0.0,0.0,1,1.0,1.0,0.0,,301-400,0.0,0-10,6-10,7556544,23:30-59,Holiday ,Sport
4-4-2023 12:12:25,Bioinformatics,1.0,1.0,1,1.0,1.0,0.0,1996-11-18,201-300,0.0,80-90,0-2,7,01:00-29,reading bible,going to church
4-4-2023 12:11:44,Computer Science,0.0,0.0,0,1.0,0.0,1.0,1999-01-01,201-300,1.0,80-90,,77,,sunshine,nice feeling about myself
4-4-2023 12:11:26,Bioinformatics,1.0,,0,1.0,0.0,1.0,1998-09-20,301-400,0.0,60-70,0-2,45,02:00-29,Spending time with someone I love,Good food
4-4-2023 12:10:56,Econometrics,1.0,0.0,1,0.0,1.0,1.0,1996-10-26,201-300,0.0,0-10,6-10,936,23:30-59,Productive ,Coffee
4-4-2023 12:09:51,Neuroscience,0.0,0.0,1,0.0,0.0,0.0,1999-09-05,301-400,0.0,60-70,6-10,9,22:30-59,Good food ,Good company
4-4-2023 12:11:02,Artificial Intelligence,0.0,0.0,1,1.0,0.0,1.0,1999-06-14,51-100,0.0,0-10,,99,23:00-29,The sun,Good food
4-4-2023 12:11:30,Computational Science,0.0,1.0,1,,0.0,1.0,2000-02-21,501-1000,0.0,20-30,0-2,2,,No stress,Winning League of Legends
4-4-2023 12:11:05,Finance and Technology,1.0,0.0,1,0.0,1.0,1.0,2000-08-14,201-300,0.0,20-30,4-6,42,,Having a good chat with friends ,Food and drinks
4-4-2023 12:11:22,Business Analytics,1.0,0.0,1,1.0,1.0,1.0,1999-09-21,201-300,0.0,0-10,6-10,46372726,23:00-29,Fun activities,Good weather
4-4-2023 12:10:58,Artificial Intelligence,0.0,0.0,1,1.0,,1.0,1999-11-24,101-200,0.0,80-90,,pi,,being productive,being relaxed
4-4-2023 12:10:48,Computational Science,0.0,0.0,1,0.0,1.0,1.0,1999-05-28,201-300,0.0,30-40,2-4,6,,Vacation,Company
4-4-2023 12:11:01,Other,0.0,0.0,1,0.0,1.0,1.0,1900-01-01,201-300,0.0,90-100,4-6,77266200376655155388366366655583,22:00-29,Preheating a sausage roll ,
4-4-2023 12:11:32,Bioinformatics,1.0,0.0,0,0.0,0.0,0.0,2000-06-20,301-400,0.0,60-70,2-4,98,01:30-59,nice weather ,seeing my friends 
4-4-2023 12:10:27,Other,1.0,1.0,1,1.0,0.0,1.0,1997-12-14,301-400,0.0,80-90,2-4,3,01:00-29,No obligations,Being outside in the sun
4-4-2023 12:11:18,Bioinformatics,1.0,0.0,1,1.0,1.0,1.0,1998-01-05,101-200,0.0,10-20,6-10,7,21:00-29,Having time to workout,"Having nice, sunny weather"
4-4-2023 12:10:58,Other,1.0,1.0,1,0.0,1.0,0.0,1997-08-31,201-300,0.0,0-10,0-2,6,23:30-59,Nice weather,Winning at life
4-4-2023 12:12:21,Bioinformatics,1.0,,1,1.0,1.0,1.0,1999-06-10,301-400,0.0,60-70,6-10,1234567890,,Good food,Nice weather
4-4-2023 12:11:00,Business Analytics,1.0,1.0,1,1.0,0.0,1.0,,201-300,0.0,40-50,2-4,7,23:00-29,The sun shining ,Friends
4-4-2023 12:11:33,Econometrics,0.0,0.0,1,0.0,0.0,0.0,2001-07-07,401-500,0.0,50-60,2-4,7,22:30-59,Sunshine,Going out with friends
4-4-2023 12:11:08,Computational Science,,0.0,1,1.0,1.0,1.0,1998-07-03,201-300,0.0,40-50,4-6,4793374949,12:00-29,Good sleep,Good food and beer with friends 
4-4-2023 12:11:07,Other,0.0,0.0,1,0.0,0.0,0.0,1998-02-01,401-500,0.0,80-90,2-4,3,23:30-59,"Sun, coffee, friends","Good sleep, no stress, laughter"
4-4-2023 12:10:57,Artificial Intelligence,1.0,1.0,1,0.0,0.0,1.0,2000-12-08,401-500,0.0,30-40,4-6,18,22:00-29,Friends and food,Nice weather
4-4-2023 12:11:26,Econometrics,0.0,1.0,1,0.0,0.0,1.0,,301-400,0.0,60-70,4-6,119,01:30-59,Sun shining,Good food
4-4-2023 12:11:05,Computational Science,1.0,0.0,1,0.0,1.0,1.0,2000-05-19,201-300,0.0,0-10,6-10,948467618289167649818181849739491,22:00-29,Being active,Getting a good night's sleep 
4-4-2023 12:11:50,Computer Science,1.0,1.0,1,1.0,0.0,1.0,,201-300,0.0,50-60,15+,214876378,02:00-29,Good food,No shitty people
4-4-2023 12:12:52,Bioinformatics,1.0,0.0,0,0.0,,0.0,1999-10-09,101-200,0.0,10-20,0-2,2020,,Good grades,When figuring out something 
4-4-2023 12:12:55,Artificial Intelligence,0.0,0.0,1,1.0,1.0,1.0,1997-01-28,201-300,0.0,50-60,4-6,"8,10892E+12",12:00-29,Sunny,Good food
4-4-2023 12:11:36,Econometrics,0.0,0.0,1,0.0,1.0,1.0,1999-09-15,51-100,0.0,60-70,2-4,8798,01:00-29,Finishing an exam,Being efficient
4-4-2023 12:11:29,Bioinformatics,1.0,0.0,1,0.0,1.0,1.0,1997-06-11,301-400,0.0,20-30,4-6,27,02:00-29,Having a good day of work,Sport
4-4-2023 12:11:18,Artificial Intelligence,1.0,0.0,1,1.0,1.0,1.0,1998-09-03,201-300,0.0,60-70,6-10,9,,Sleep,Travel
4-4-2023 12:10:56,Artificial Intelligence,1.0,0.0,1,1.0,0.0,1.0,1998-04-12,101-200,0.0,60-70,6-10,69,22:30-59,Good weather,Walking my dog
4-4-2023 12:08:38,Artificial Intelligence,0.0,0.0,1,0.0,0.0,0.0,,201-300,0.0,10-20,4-6,17,23:30-59,Sports,Friends
4-4-2023 12:10:56,Computational Science,1.0,0.0,1,0.0,1.0,0.0,1999-06-22,201-300,0.0,0-10,2-4,"7,38375E+13",00:00-29,Friends,Sun
4-4-2023 12:11:16,Econometrics,0.0,1.0,1,1.0,0.0,0.0,2000-12-14,301-400,0.0,60-70,2-4,4,01:00-29,Sunny day,Sushi
4-4-2023 12:11:13,Business Analytics,1.0,1.0,1,1.0,1.0,0.0,2000-09-07,301-400,0.0,80-90,2-4,420,23:30-59,Fun activities for work/school,Enough sleep
4-4-2023 12:11:15,Other,1.0,0.0,1,1.0,1.0,1.0,1990-01-01,401-500,0.0,50-60,4-6,314.159,,Sun,Productivity
4-4-2023 12:11:00,Other,1.0,0.0,1,0.0,1.0,,1997-12-02,101-200,0.0,80-90,,3840,,Having a good meal,Going on a nice walk with my dog
4-4-2023 12:11:04,Econometrics,1.0,1.0,1,0.0,1.0,,1997-11-08,301-400,0.0,50-60,6-10,3.14,00:30-59,sleeping out,making music
4-4-2023 12:11:13,Business Analytics,1.0,1.0,1,1.0,1.0,1.0,2000-04-11,301-400,0.0,70-80,15+,4,21:00-29,Start with a training on the water (rowing),Getting 8 hours of sleep
4-4-2023 12:11:23,Artificial Intelligence,0.0,0.0,1,0.0,,,1995-04-23,201-300,0.0,10-20,6-10,237948422,01:00-29,Sex,Sports
4-4-2023 12:13:21,Bioinformatics,1.0,0.0,1,0.0,0.0,0.0,,401-500,0.0,20-30,0-2,7,23:30-59,Sunshine,Love
4-4-2023 12:10:56,Other,0.0,0.0,1,0.0,0.0,,,301-400,0.0,90-100,,7,23:30-59,Gossiping,Sleep
4-4-2023 12:11:06,Computer Science,1.0,0.0,0,1.0,1.0,,1999-03-13,101-200,0.0,70-80,4-6,88,,video game,video game
4-4-2023 12:10:11,Bioinformatics,1.0,0.0,1,0.0,0.0,1.0,1997-03-05,501-1000,0.0,70-80,0-2,7,22:00-29,blue skies,lakes/beach
4-4-2023 12:11:38,Business Analytics,1.0,,1,1.0,1.0,1.0,2000-05-29,301-400,0.0,20-30,6-10,15,,Good weather ,Fun activities planned 
4-4-2023 12:11:28,Computer Science,1.0,1.0,1,1.0,1.0,1.0,1998-04-17,501-1000,0.0,10-20,4-6,17,,Good sleep,Excersise 
4-4-2023 12:11:56,Bioinformatics,1.0,0.0,1,1.0,0.0,1.0,1993-09-09,401-500,0.0,90-100,2-4,8512,01:30-59,Good weather,My dog
4-4-2023 12:11:25,Artificial Intelligence,1.0,1.0,1,1.0,1.0,,1999-12-03,501-1000,0.0,30-40,0-2,13,,Food,Productivity
4-4-2023 12:13:24,Bioinformatics,1.0,0.0,1,0.0,1.0,0.0,1994-02-12,101-200,0.0,40-50,,28,23:00-29,Friday,Saturday
4-4-2023 12:08:59,Business Analytics,1.0,0.0,1,1.0,0.0,1.0,2000-03-13,401-500,0.0,70-80,4-6,13,,Coffee,Sunny weather
4-4-2023 12:10:49,Other,1.0,0.0,1,0.0,0.0,0.0,2000-12-28,401-500,0.0,10-20,0-2,22,02:00-29,Good weather,Free time
4-4-2023 12:12:55,Bioinformatics,1.0,0.0,0,0.0,0.0,1.0,2000-11-19,401-500,0.0,50-60,,9,23:00-29,Sunshine,Sex
4-4-2023 12:11:24,Econometrics,0.0,0.0,1,0.0,1.0,0.0,,301-400,0.0,0-10,6-10,5,23:30-59,Going to the gym,Having a sufficient amount of sleep
4-4-2023 12:11:21,Computer Science,1.0,0.0,1,1.0,1.0,0.0,,201-300,0.0,80-90,4-6,420,23:30-59,Avocado Toast,winning at chess
4-4-2023 12:10:53,Econometrics,1.0,1.0,1,1.0,1.0,1.0,2001-08-07,51-100,0.0,30-40,6-10,6,00:30-59,Good food ,Sun
4-4-2023 12:11:19,Computer Science,0.0,0.0,0,0.0,1.0,1.0,1999-01-01,201-300,0.0,90-100,,7,,a nice weather,a nice meal
4-4-2023 12:10:58,Artificial Intelligence,1.0,0.0,1,1.0,1.0,1.0,2000-05-23,201-300,0.0,0-10,6-10,6,23:30-59,Beer,Beer(2)
4-4-2023 12:11:06,Artificial Intelligence,1.0,0.0,0,1.0,0.0,0.0,1985-04-23,401-500,0.0,70-80,4-6,623,21:30-59,sunshine,cake
4-4-2023 12:12:16,Computational Science,0.0,0.0,1,0.0,1.0,1.0,1997-06-11,201-300,0.0,20-30,0-2,3,00:30-59,Meeting friends,Nice weather
4-4-2023 12:11:23,Computer Science,0.0,0.0,0,1.0,,,1990-11-20,301-400,1.0,40-50,6-10,2.022.222,,weather,food
4-4-2023 12:10:14,Computer Science,0.0,0.0,1,1.0,0.0,1.0,,101-200,0.0,20-30,6-10,27,11:30-59,sunny days,good meals
4-4-2023 12:09:26,Bioinformatics,1.0,0.0,1,1.0,1.0,,,401-500,0.0,10-20,6-10,14,02:00-29,Something surprising emerging,Nothing bad happened
4-4-2023 12:10:18,Artificial Intelligence,0.0,1.0,1,0.0,0.0,1.0,1998-09-28,401-500,0.0,40-50,2-4,56,23:30-59,Sunny,Good food 
4-4-2023 12:10:11,Bioinformatics,1.0,0.0,1,0.0,0.0,,2000-01-31,401-500,0.0,60-70,0-2,7,00:30-59,Family ,Good food
4-4-2023 12:11:11,Artificial Intelligence,0.0,0.0,1,0.0,1.0,1.0,2001-10-03,201-300,0.0,0-10,6-10,42,23:00-29,Training,Winning
4-4-2023 12:10:45,Bioinformatics,1.0,0.0,1,1.0,0.0,1.0,1999-01-16,301-400,0.0,60-70,2-4,4,22:00-29,Nice weather,Friends
4-4-2023 12:11:00,Artificial Intelligence,0.0,0.0,1,0.0,0.0,1.0,2000-08-06,201-300,0.0,80-90,4-6,7,23:00-29,Oatmeal,Sex
4-4-2023 12:11:21,Artificial Intelligence,0.0,0.0,1,1.0,0.0,1.0,2000-06-29,101-200,0.0,0-10,6-10,1,23:30-59,Cold dip in open water,Pizza
4-4-2023 12:11:25,Artificial Intelligence,1.0,,1,1.0,0.0,0.0,2001-09-14,401-500,0.0,60-70,4-6,17,23:30-59,sunshine,books
4-4-2023 12:10:36,Bioinformatics,1.0,0.0,1,0.0,1.0,1.0,1996-04-24,201-300,0.0,10-20,10-15,99,,food,sex
4-4-2023 12:12:16,Other,1.0,0.0,1,1.0,0.0,0.0,2000-10-07,401-500,0.0,40-50,6-10,7,23:30-59,Good weather,Good company 
4-4-2023 12:11:24,Bioinformatics,1.0,0.0,1,0.0,1.0,1.0,,501-1000,0.0,60-70,6-10,69,01:00-29,Sun,Not being in the Netherlands
